value,quality,type,time(msec)
21,30,1,32670
2613,0,5,32670
31,0,2,32670
0,30,0,32920
21,30,1,32920
0,44,0,33170
21,44,1,33170
47,33,3,33211
100,33,4,33211
0,44,0,33420
21,44,1,33420
0,44,0,33670
21,44,1,33670
0,44,0,33920
21,44,1,33920
47,33,3,34107
100,33,4,34107
0,44,0,34170
21,44,1,34170
0,29,0,34420
21,29,1,34420
0,29,0,34670
21,29,1,34670
2612,0,5,34670
31,0,2,34670
0,29,0,34920
21,29,1,34920
47,33,3,35022
100,33,4,35022
0,29,0,35170
21,29,1,35170
0,29,0,35420
21,29,1,35420
0,23,0,35670
21,23,1,35670
0,23,0,35920
21,23,1,35920
0,23,0,36170
21,23,1,36170
47,33,3,36213
100,33,4,36213
0,23,0,36420
21,23,1,36420
0,23,0,36670
21,23,1,36670
2613,0,5,36670
31,0,2,36670
0,37,0,36920
21,37,1,36920
0,37,0,37170
21,37,1,37170
47,33,3,37208
100,33,4,37208
0,37,0,37420
21,37,1,37420
0,37,0,37670
21,37,1,37670
0,37,0,37920
21,37,1,37920
0,30,0,38170
21,30,1,38170
48,129,3,38324
100,129,4,38324
0,30,0,38420
21,30,1,38420
0,30,0,38670
21,30,1,38670
2613,0,5,38670
31,0,2,38670
0,30,0,38920
21,30,1,38920
0,30,0,39170
21,30,1,39170
48,129,3,39212
100,129,4,39212
0,36,0,39420
21,36,1,39420
0,36,0,39670
21,36,1,39670
0,36,0,39920
21,36,1,39920
0,36,0,40170
21,36,1,40170
48,129,3,40211
100,129,4,40211
0,22,0,40420
21,22,1,40420
0,22,0,40670
21,22,1,40670
2612,0,5,40670
31,0,2,40670
0,22,0,40920
21,22,1,40920
48,1,3,41028
99,1,4,41028
0,22,0,41170
21,22,1,41170
0,22,0,41420
21,22,1,41420
0,31,0,41670
21,31,1,41670
0,31,0,41920
21,31,1,41920
0,31,0,42170
21,31,1,42170
48,129,3,42237
99,129,4,42237
0,31,0,42420
21,31,1,42420
0,31,0,42670
21,31,1,42670
2612,0,5,42670
31,0,2,42670
0,27,0,42920
21,27,1,42920
0,27,0,43170
21,27,1,43170
48,129,3,43229
99,129,4,43229
0,27,0,43420
21,27,1,43420
0,27,0,43670
21,27,1,43670
0,27,0,43920
21,27,1,43920
48,1,3,44043
99,1,4,44043
0,28,0,44170
21,28,1,44170
0,28,0,44420
21,28,1,44420
0,28,0,44670
21,28,1,44670
2612,0,5,44670
31,0,2,44670
0,28,0,44920
21,28,1,44920
0,28,0,45170
21,28,1,45170
48,129,3,45227
99,129,4,45227
0,32,0,45420
21,32,1,45420
0,32,0,45670
21,32,1,45670
0,32,0,45920
21,32,1,45920
0,32,0,46170
21,32,1,46170
48,129,3,46209
99,129,4,46209
0,37,0,46420
21,37,1,46420
0,37,0,46670
21,37,1,46670
2612,0,5,46670
31,0,2,46670
0,37,0,46920
21,37,1,46920
49,129,3,47015
99,129,4,47015
0,37,0,47170
21,37,1,47170
0,37,0,47420
21,37,1,47420
0,33,0,47670
21,33,1,47670
0,33,0,47920
21,33,1,47920
0,33,0,48170
22,33,1,48170
49,5,3,48240
99,5,4,48240
0,33,0,48420
22,33,1,48420
0,33,0,48670
22,33,1,48670
2612,0,5,48670
31,0,2,48670
0,34,0,48920
22,34,1,48920
0,34,0,49170
22,34,1,49170
49,1,3,49213
99,1,4,49213
0,34,0,49420
22,34,1,49420
0,34,0,49670
22,34,1,49670
0,34,0,49920
22,34,1,49920
49,1,3,50027
99,1,4,50027
0,39,0,50170
22,39,1,50170
0,39,0,50420
22,39,1,50420
0,39,0,50670
22,39,1,50670
2612,0,5,50670
31,0,2,50670
0,39,0,50920
22,39,1,50920
0,39,0,51170
22,39,1,51170
49,129,3,51238
99,129,4,51238
0,36,0,51420
22,36,1,51420
0,36,0,51670
22,36,1,51670
0,36,0,51920
22,36,1,51920
0,36,0,52170
22,36,1,52170
49,129,3,52210
99,129,4,52210
0,39,0,52420
22,39,1,52420
0,39,0,52670
22,39,1,52670
2612,0,5,52670
31,0,2,52670
0,39,0,52920
22,39,1,52920
50,129,3,53072
99,129,4,53072
0,39,0,53170
22,39,1,53170
0,39,0,53420
22,39,1,53420
0,43,0,53670
22,43,1,53670
0,43,0,53920
22,43,1,53920
0,43,0,54170
22,43,1,54170
50,129,3,54284
99,129,4,54284
0,43,0,54420
22,43,1,54420
0,43,0,54670
22,43,1,54670
2612,0,5,54670
31,0,2,54670
0,31,0,54920
22,31,1,54920
0,31,0,55170
22,31,1,55170
50,13,3,55228
100,13,4,55228
0,31,0,55420
22,31,1,55420
0,31,0,55670
22,31,1,55670
0,31,0,55920
22,31,1,55920
50,129,3,56076
100,129,4,56076
0,30,0,56170
22,30,1,56170
0,30,0,56420
22,30,1,56420
0,30,0,56670
22,30,1,56670
2612,0,5,56670
31,0,2,56670
0,30,0,56920
22,30,1,56920
0,30,0,57170
22,30,1,57170
50,129,3,57290
100,129,4,57290
0,29,0,57420
22,29,1,57420
0,29,0,57670
22,29,1,57670
0,29,0,57920
22,29,1,57920
0,29,0,58170
22,29,1,58170
50,129,3,58208
100,129,4,58208
0,29,0,58420
22,29,1,58420
0,32,0,58670
22,32,1,58670
2612,0,5,58670
31,0,2,58670
0,32,0,58920
22,32,1,58920
50,1,3,59092
100,1,4,59092
0,32,0,59170
22,32,1,59170
0,32,0,59420
22,32,1,59420
0,33,0,59670
22,33,1,59670
0,33,0,59920
22,33,1,59920
0,33,0,60170
22,33,1,60170
50,129,3,60277
100,129,4,60277
0,33,0,60420
22,33,1,60420
0,33,0,60670
22,33,1,60670
2611,0,5,60670
31,0,2,60670
0,32,0,60920
22,32,1,60920
0,32,0,61170
22,32,1,61170
50,129,3,61214
100,129,4,61214
0,32,0,61420
22,32,1,61420
0,32,0,61670
22,32,1,61670
0,32,0,61920
22,32,1,61920
50,129,3,62102
100,129,4,62102
0,32,0,62170
22,32,1,62170
0,32,0,62420
22,32,1,62420
0,32,0,62670
22,32,1,62670
2611,0,5,62670
31,0,2,62670
0,32,0,62920
22,32,1,62920
50,1,3,63024
100,1,4,63024
0,32,0,63170
22,32,1,63170
0,36,0,63420
22,36,1,63420
0,36,0,63670
22,36,1,63670
0,36,0,63920
22,36,1,63920
0,36,0,64170
22,36,1,64170
49,129,3,64230
100,129,4,64230
0,36,0,64420
22,36,1,64420
0,34,0,64670
22,34,1,64670
2612,0,5,64670
31,0,2,64670
0,34,0,64920
22,34,1,64920
0,34,0,65170
22,34,1,65170
49,1,3,65215
100,1,4,65215
0,34,0,65420
22,34,1,65420
0,32,0,65670
22,32,1,65670
0,32,0,65920
22,32,1,65920
49,1,3,66031
100,1,4,66031
0,32,0,66170
22,32,1,66170
0,32,0,66420
22,32,1,66420
0,32,0,66670
22,32,1,66670
2611,0,5,66670
31,0,2,66670
0,30,0,66920
22,30,1,66920
0,30,0,67170
22,30,1,67170
49,129,3,67216
100,129,4,67216
0,30,0,67420
22,30,1,67420
0,30,0,67670
22,30,1,67670
0,30,0,67920
22,30,1,67920
0,31,0,68170
22,31,1,68170
49,129,3,68218
100,129,4,68218
0,31,0,68420
22,31,1,68420
0,31,0,68670
22,31,1,68670
2612,0,5,68670
31,0,2,68670
0,31,0,68920
22,31,1,68920
49,5,3,69054
100,5,4,69054
0,31,0,69170
22,31,1,69170
0,29,0,69420
22,29,1,69420
0,29,0,69670
22,29,1,69670
0,29,0,69920
22,29,1,69920
0,29,0,70170
22,29,1,70170
49,1,3,70254
100,1,4,70254
0,29,0,70420
22,29,1,70420
0,32,0,70670
22,32,1,70670
2611,0,5,70670
31,0,2,70670
0,32,0,70920
22,32,1,70920
0,32,0,71170
22,32,1,71170
49,129,3,71173
100,129,4,71173
0,32,0,71420
22,32,1,71420
0,34,0,71670
22,34,1,71670
0,34,0,71920
22,34,1,71920
49,129,3,72078
100,129,4,72078
0,34,0,72170
22,34,1,72170
0,34,0,72420
22,34,1,72420
0,34,0,72670
22,34,1,72670
2611,0,5,72670
31,0,2,72670
0,43,0,72920
22,43,1,72920
0,43,0,73170
22,43,1,73170
48,129,3,73245
100,129,4,73245
0,43,0,73420
22,43,1,73420
0,43,0,73670
22,43,1,73670
0,43,0,73920
22,43,1,73920
0,35,0,74170
22,35,1,74170
48,1,3,74221
100,1,4,74221
0,35,0,74420
22,35,1,74420
1,0,6,74420
0,35,0,74670
22,35,1,74670
2611,0,5,74670
31,0,2,74670
0,35,0,74920
22,35,1,74920
48,129,3,75061
100,129,4,75061
0,35,0,75170
22,35,1,75170
0,43,0,75420
22,43,1,75420
0,43,0,75670
22,43,1,75670
0,43,0,75920
22,43,1,75920
0,43,0,76170
22,43,1,76170
48,129,3,76204
100,129,4,76204
0,43,0,76420
22,43,1,76420
0,29,0,76670
22,29,1,76670
2611,0,5,76670
31,0,2,76670
0,29,0,76920
22,29,1,76920
0,29,0,77170
22,29,1,77170
48,129,3,77203
100,129,4,77203
0,29,0,77420
22,29,1,77420
0,29,0,77670
22,29,1,77670
0,34,0,77920
22,34,1,77920
48,129,3,78063
100,129,4,78063
0,34,0,78170
22,34,1,78170
0,34,0,78420
22,34,1,78420
0,34,0,78670
22,34,1,78670
2611,0,5,78670
31,0,2,78670
0,28,0,78920
22,28,1,78920
0,28,0,79170
22,28,1,79170
48,129,3,79218
100,129,4,79218
0,28,0,79420
22,28,1,79420
0,28,0,79670
22,28,1,79670
0,28,0,79920
22,28,1,79920
0,26,0,80170
22,26,1,80170
48,129,3,80220
100,129,4,80220
0,26,0,80420
22,26,1,80420
0,26,0,80670
22,26,1,80670
2611,0,5,80670
31,0,2,80670
0,26,0,80920
22,26,1,80920
48,129,3,81064
100,129,4,81064
0,26,0,81170
22,26,1,81170
0,32,0,81420
22,32,1,81420
0,32,0,81670
22,32,1,81670
0,32,0,81920
22,32,1,81920
0,32,0,82170
22,32,1,82170
48,129,3,82262
100,129,4,82262
0,32,0,82420
22,32,1,82420
0,32,0,82670
22,32,1,82670
2611,0,5,82670
31,0,2,82670
0,32,0,82920
22,32,1,82920
0,32,0,83170
22,32,1,83170
48,129,3,83213
100,129,4,83213
0,32,0,83420
22,32,1,83420
0,32,0,83670
22,32,1,83670
0,34,0,83920
22,34,1,83920
48,5,3,84093
100,5,4,84093
0,34,0,84170
22,34,1,84170
0,34,0,84420
22,34,1,84420
0,34,0,84670
22,34,1,84670
2611,0,5,84670
31,0,2,84670
0,31,0,84920
22,31,1,84920
0,31,0,85170
22,31,1,85170
49,1,3,85268
100,1,4,85268
0,31,0,85420
22,31,1,85420
0,31,0,85670
22,31,1,85670
0,31,0,85920
22,31,1,85920
0,43,0,86170
22,43,1,86170
49,1,3,86216
100,1,4,86216
0,43,0,86420
22,43,1,86420
0,43,0,86670
22,43,1,86670
2611,0,5,86670
31,0,2,86670
0,43,0,86920
22,43,1,86920
49,1,3,87098
100,1,4,87098
0,43,0,87170
22,43,1,87170
0,31,0,87420
22,31,1,87420
0,31,0,87670
22,31,1,87670
0,31,0,87920
22,31,1,87920
49,129,3,87969
100,129,4,87969
0,31,0,88170
22,31,1,88170
0,31,0,88420
22,31,1,88420
0,28,0,88670
22,28,1,88670
2611,0,5,88670
31,0,2,88670
0,28,0,88920
22,28,1,88920
0,28,0,89170
22,28,1,89170
49,1,3,89214
100,1,4,89214
0,28,0,89420
22,28,1,89420
0,28,0,89670
22,28,1,89670
0,28,0,89920
22,28,1,89920
0,28,0,90170
22,28,1,90170
49,129,3,90212
100,129,4,90212
0,28,0,90420
22,28,1,90420
0,28,0,90670
22,28,1,90670
2610,0,5,90670
31,0,2,90670
0,34,0,90920
22,34,1,90920
0,34,0,91170
22,34,1,91170
49,129,3,91310
100,129,4,91310
0,34,0,91420
22,34,1,91420
0,34,0,91670
22,34,1,91670
0,34,0,91920
22,34,1,91920
0,31,0,92170
22,31,1,92170
49,1,3,92234
100,1,4,92234
0,31,0,92420
22,31,1,92420
0,31,0,92670
22,31,1,92670
2611,0,5,92670
31,0,2,92670
0,31,0,92920
22,31,1,92920
0,31,0,93170
22,31,1,93170
49,129,3,93213
100,129,4,93213
0,26,0,93420
22,26,1,93420
0,26,0,93670
22,26,1,93670
0,26,0,93920
22,26,1,93920
49,1,3,94043
100,1,4,94043
0,26,0,94170
22,26,1,94170
0,26,0,94420
22,26,1,94420
0,42,0,94670
22,42,1,94670
2611,0,5,94670
31,0,2,94670
0,42,0,94920
22,42,1,94920
0,42,0,95170
22,42,1,95170
49,1,3,95260
100,1,4,95260
0,42,0,95420
22,42,1,95420
0,42,0,95670
22,42,1,95670
0,48,0,95920
22,48,1,95920
0,48,0,96170
22,48,1,96170
49,129,3,96212
100,129,4,96212
0,48,0,96420
22,48,1,96420
0,48,0,96670
22,48,1,96670
2610,0,5,96670
31,0,2,96670
0,48,0,96920
22,48,1,96920
49,1,3,97065
100,1,4,97065
0,36,0,97170
22,36,1,97170
0,36,0,97420
22,36,1,97420
0,36,0,97670
22,36,1,97670
0,36,0,97920
22,36,1,97920
0,32,0,98170
22,32,1,98170
48,1,3,98248
100,1,4,98248
0,32,0,98420
22,32,1,98420
0,32,0,98670
22,32,1,98670
2610,0,5,98670
31,0,2,98670
0,32,0,98920
22,32,1,98920
0,32,0,99170
22,32,1,99170
48,129,3,99173
100,129,4,99173
0,32,0,99420
22,32,1,99420
0,32,0,99670
22,32,1,99670
0,32,0,99920
22,32,1,99920
48,129,3,100045
100,129,4,100045
0,32,0,100170
22,32,1,100170
0,32,0,100420
22,32,1,100420
0,32,0,100670
22,32,1,100670
2610,0,5,100670
31,0,2,100670
0,32,0,100920
22,32,1,100920
0,32,0,101170
22,32,1,101170
48,129,3,101273
100,129,4,101273
0,32,0,101420
22,32,1,101420
0,32,0,101670
22,32,1,101670
0,30,0,101920
22,30,1,101920
0,30,0,102170
22,30,1,102170
48,129,3,102176
100,129,4,102176
0,30,0,102420
22,30,1,102420
0,30,0,102670
22,30,1,102670
2611,0,5,102670
31,0,2,102670
0,30,0,102920
22,30,1,102920
48,129,3,103096
100,129,4,103096
0,35,0,103170
22,35,1,103170
0,35,0,103420
22,35,1,103420
0,35,0,103670
22,35,1,103670
0,35,0,103920
22,35,1,103920
0,28,0,104170
22,28,1,104170
48,129,3,104280
100,129,4,104280
0,28,0,104420
22,28,1,104420
0,28,0,104670
22,28,1,104670
2610,0,5,104670
31,0,2,104670
0,28,0,104920
22,28,1,104920
0,28,0,105170
22,28,1,105170
48,129,3,105175
100,129,4,105175
0,29,0,105420
22,29,1,105420
0,29,0,105670
22,29,1,105670
0,29,0,105920
22,29,1,105920
48,129,3,106140
100,129,4,106140
0,29,0,106170
22,29,1,106170
0,29,0,106420
22,29,1,106420
0,46,0,106670
22,46,1,106670
2610,0,5,106670
31,0,2,106670
0,46,0,106920
22,46,1,106920
0,46,0,107170
22,46,1,107170
47,129,3,107314
100,129,4,107314
0,46,0,107420
22,46,1,107420
0,46,0,107670
22,46,1,107670
0,27,0,107920
22,27,1,107920
0,27,0,108170
22,27,1,108170
47,129,3,108242
100,129,4,108242
0,27,0,108420
22,27,1,108420
0,27,0,108670
22,27,1,108670
2610,0,5,108670
31,0,2,108670
0,27,0,108920
22,27,1,108920
0,25,0,109170
22,25,1,109170
49,1,3,109211
100,1,4,109211
0,25,0,109420
22,25,1,109420
0,25,0,109670
22,25,1,109670
0,25,0,109920
22,25,1,109920
48,129,3,110029
100,129,4,110029
